dag_id,data,mse_factor,name,stage_id
710cc8cb-f78c-11e9-a61e-340286a22b19,"{'a18': {'size': 320}, 'b16': {'size': 250}, 'd6': {'size': 277}}",0,graph,1
710cc8cb-f78c-11e9-a61e-340286a22b19,{'d': {'size': 25}},0,graph,2
710cc8cb-f78c-11e9-a61e-340286a22b19,"{'d20': {'size': 120}, 'd': {'size': 100}}",0,graph,2
710cc8cb-f78c-11e9-a61e-340286a22b19,{'d': {'size': 25}},0,graph,2
710cc8cb-f78c-11e9-a61e-340286a22b19,"{'d20': {'size': 120}, 'd': {'size': 100}}",0,graph,2
dag_id,data,mse_factor,name,stage_id
710cc8c9-f78c-11e9-a61e-340286a22b19,{'a2': {'size': 160}},0,graph,0
710cc8c9-f78c-11e9-a61e-340286a22b19,{'c23': {'size': 400}},0,graph,1
710cc8c9-f78c-11e9-a61e-340286a22b19,{'b16': {'size': 300}},0,graph,2
710cc8c9-f78c-11e9-a61e-340286a22b19,{'b16': {'size': 300}},0,graph,2
710cc8c9-f78c-11e9-a61e-340286a22b19,{'d25': {'size': 200}},0,graph,3
710cc8c9-f78c-11e9-a61e-340286a22b19,{'d25': {'size': 200}},0,graph,3
710cc8c9-f78c-11e9-a61e-340286a22b19,{'c21': {'size': 160}},0,graph,4
710cc8c9-f78c-11e9-a61e-340286a22b19,{'c21': {'size': 160}},0,graph,4
dag_id,data,mse_factor,name,stage_id
c358d164-f791-11e9-a61e-340286a22b19,{'c26': {'size': 40}},0,graph,0
c358d164-f791-11e9-a61e-340286a22b19,"{'f': {'size': 90}, 'c26': {'size': 160}}",0,graph,0
dag_id,data,mse_factor,name,stage_id
c358d165-f791-11e9-a61e-340286a22b19,{'a27': {'size': 40}},0,graph,0
c358d165-f791-11e9-a61e-340286a22b19,"{'b3': {'size': 96}, 'a27': {'size': 160}}",0,graph,0
c358d165-f791-11e9-a61e-340286a22b19,{'d6': {'size': 93}},0,graph,1
c358d165-f791-11e9-a61e-340286a22b19,{'d': {'size': 25}},0,graph,2
c358d165-f791-11e9-a61e-340286a22b19,"{'d20': {'size': 120}, 'd': {'size': 100}}",0,graph,2
c358d165-f791-11e9-a61e-340286a22b19,{'d': {'size': 25}},0,graph,2
c358d165-f791-11e9-a61e-340286a22b19,"{'d20': {'size': 120}, 'd': {'size': 100}}",0,graph,2
dag_id,data,mse_factor,name,stage_id
c358d163-f791-11e9-a61e-340286a22b19,{'a2': {'size': 160}},0,graph,0
c358d163-f791-11e9-a61e-340286a22b19,{'b16': {'size': 300}},0,graph,2
c358d163-f791-11e9-a61e-340286a22b19,{'b16': {'size': 300}},0,graph,2
c358d163-f791-11e9-a61e-340286a22b19,{'c21': {'size': 160}},0,graph,4
c358d163-f791-11e9-a61e-340286a22b19,{'c21': {'size': 160}},0,graph,4
dag_id,data,mse_factor,name,stage_id
e53a9130-f793-11e9-a61e-340286a22b19,{'c26': {'size': 40}},0,graph,0
e53a9130-f793-11e9-a61e-340286a22b19,"{'f': {'size': 90}, 'c26': {'size': 160}}",0,graph,0

dag_id,data,mse_factor,name,stage_id
ff87b912-f7ea-11e9-a61e-340286a22b19,{'c26': {'size': 40}},0,graph,0
ff87b912-f7ea-11e9-a61e-340286a22b19,"{'f': {'size': 90}, 'c26': {'size': 160}}",0,graph,0
dag_id,data,mse_factor,name,stage_id
ff87b913-f7ea-11e9-a61e-340286a22b19,{'a27': {'size': 40}},0,graph,0
ff87b913-f7ea-11e9-a61e-340286a22b19,{'d6': {'size': 93}},0,graph,1
ff87b913-f7ea-11e9-a61e-340286a22b19,{'d': {'size': 25}},0,graph,2
ff87b913-f7ea-11e9-a61e-340286a22b19,"{'d20': {'size': 120}, 'd': {'size': 100}}",0,graph,2
ff87b913-f7ea-11e9-a61e-340286a22b19,{'d': {'size': 25}},0,graph,2
ff87b913-f7ea-11e9-a61e-340286a22b19,"{'d20': {'size': 120}, 'd': {'size': 100}}",0,graph,2
dag_id,data,mse_factor,name,stage_id
ff87b911-f7ea-11e9-a61e-340286a22b19,{'a2': {'size': 160}},0,graph,0
ff87b911-f7ea-11e9-a61e-340286a22b19,{'b16': {'size': 300}},0,graph,2
ff87b911-f7ea-11e9-a61e-340286a22b19,{'b16': {'size': 300}},0,graph,2
ff87b911-f7ea-11e9-a61e-340286a22b19,{'c21': {'size': 160}},0,graph,4
ff87b911-f7ea-11e9-a61e-340286a22b19,{'c21': {'size': 160}},0,graph,4
dag_id,data,mse_factor,name,stage_id
6f615936-f7ec-11e9-a61f-340286a22b19,{'c26': {'size': 40}},0,graph,0
6f615936-f7ec-11e9-a61f-340286a22b19,"{'f': {'size': 90}, 'c26': {'size': 160}}",0,graph,0
dag_id,data,mse_factor,name,stage_id
c7aa5bd8-f7ec-11e9-a61f-340286a22b19,{'c26': {'size': 40}},0,graph,0
c7aa5bd8-f7ec-11e9-a61f-340286a22b19,"{'f': {'size': 90}, 'c26': {'size': 160}}",0,graph,0
dag_id,data,mse_factor,name,stage_id
05fe7a90-f7ed-11e9-a61f-340286a22b19,{'c26': {'size': 40}},0,graph,0
05fe7a90-f7ed-11e9-a61f-340286a22b19,"{'f': {'size': 90}, 'c26': {'size': 160}}",0,graph,0
dag_id,data,mse_factor,name,stage_id
4b156cd8-f7ed-11e9-a61f-340286a22b19,{'c26': {'size': 40}},0,graph,0
4b156cd8-f7ed-11e9-a61f-340286a22b19,"{'f': {'size': 90}, 'c26': {'size': 160}}",0,graph,0
dag_id,data,mse_factor,name,stage_id
4b156cd9-f7ed-11e9-a61f-340286a22b19,{'a27': {'size': 40}},0,graph,0
4b156cd9-f7ed-11e9-a61f-340286a22b19,{'d6': {'size': 93}},0,graph,1
4b156cd9-f7ed-11e9-a61f-340286a22b19,{'d': {'size': 25}},0,graph,2
4b156cd9-f7ed-11e9-a61f-340286a22b19,"{'d20': {'size': 120}, 'd': {'size': 100}}",0,graph,2
4b156cd9-f7ed-11e9-a61f-340286a22b19,{'d': {'size': 25}},0,graph,2
4b156cd9-f7ed-11e9-a61f-340286a22b19,"{'d20': {'size': 120}, 'd': {'size': 100}}",0,graph,2
dag_id,data,mse_factor,name,stage_id
4b156cd7-f7ed-11e9-a61f-340286a22b19,{'a2': {'size': 160}},0,graph,0
4b156cd7-f7ed-11e9-a61f-340286a22b19,{'b16': {'size': 300}},0,graph,2
4b156cd7-f7ed-11e9-a61f-340286a22b19,{'b16': {'size': 300}},0,graph,2
4b156cd7-f7ed-11e9-a61f-340286a22b19,{'c21': {'size': 160}},0,graph,4
4b156cd7-f7ed-11e9-a61f-340286a22b19,{'c21': {'size': 160}},0,graph,4
dag_id,data,mse_factor,name,stage_id
b09ea612-f7f4-11e9-a61f-340286a22b19,{'c26': {'size': 40}},0,graph,0
b09ea612-f7f4-11e9-a61f-340286a22b19,"{'f': {'size': 90}, 'c26': {'size': 160}}",0,graph,0
dag_id,data,mse_factor,name,stage_id
ef6fd1c2-f7f4-11e9-a61f-340286a22b19,{'c26': {'size': 40}},0,graph,0
ef6fd1c2-f7f4-11e9-a61f-340286a22b19,"{'f': {'size': 90}, 'c26': {'size': 160}}",0,graph,0
dag_id,data,mse_factor,name,stage_id
4c6e57fa-f7f9-11e9-a61f-340286a22b19,{'c26': {'size': 40}},0,graph,0
